comment_id,comment_message
1514934365234333_1514947941899642,b'How much was his treatment?'
1512412178819885_1513259968735106,b'False..'
1512410725486697_1513195702074866,b'#TheFreedomChallenge FALSE'
1512410725486697_1513196205408149,b'#TheFreedomChallenge FALSE Apollo Hospitals'
1512410725486697_1513198128741290,b'#TheFreedomChallenge FALSE Apollo Hospitals\nAravind Vivin\nAstro Vivin Bhaarathy'
1512410725486697_1513198972074539,b'#Thefreedomchallenge-TRUE'
1512410725486697_1513203225407447,"b""This one is tricky.. The answer is indeed True. Eating ice cream does not worsens the cold. We may think that ice creams colds the body but it's definitely not so.\n\nThere is simply no reason for you to avoid ice cream when you have a cold. By the same token, there is medical evidence to suggest that eating certain foods or modifying your diet while you have a cold can boost your immune system or alter the course of your upper respiratory tract infection.\n\nThanks for enlightening many with such myth busters.\n\nSo the next time u r down with cold, say big yes to ice creams...holaaaaa.\n\n#thefreedomchallenge"""
1512410725486697_1513205312073905,b'TRUE'
1512410215486748_1513123555415414,b'False'
1512410215486748_1513126038748499,b'False\n#TheFreedomChallenge'
1512410215486748_1513133055414464,b'False'
1512410215486748_1513145588746544,b'False\n#TheFreedomChallenge'
1512410215486748_1513148278746275,b'False'
1512410215486748_1513166538744449,b'False\n#TheFreedomChallenge'
1512410215486748_1513177218743381,b'True'
1512410215486748_1513192125408557,b'#The FreedomChallenge FALSE'
1512410215486748_1513203822074054,b'False'
1512410215486748_1513205435407226,b'ANS --> FALSE :)\n\n#TheFreedomChallenge'
1512410215486748_1513205565407213,b'ANS --> FALSE :) \n\n#TheFreedomChallenge Apollo Hospitals'
1512410215486748_1513206042073832,b'It is surely false. Eggs are good for heart for unfortunately many think that it is bad. Myth it is.\n\n#thefreedomchallenge'
1512410215486748_1513211728739930,b'True'
1512410215486748_1513239272070509,b'True'
1512410215486748_1513290328732070,"b""False - It's a myth that eggs are bad for your heart\nPerfect poached egg\nEggs can form part of a balanced diet, despite their perceived 'bad' reputation due to their cholesterol content. We reveal the secrets of the perfect poached egg.\n\nEggs do contain some saturated fat, but the butter on your toast or the bacon that may come with your eggs will probably make a more significant contribution to your overall intake.\n\nA boiled, poached or scrambled egg can be a healthy option \xe2\x80\x93 just watch out for what you add to them.\n\nAvoid cooking scrambled eggs in butter \xe2\x80\x93 use a non-stick pan and add a little unsaturated oil or spread. Swap butter on your toast for unsaturated spread and if you like ketchup with your eggs, remember it's high in sugar and salt."""
1512410215486748_1513296358731467,b'#ApolloHospitals #TheFreedomChallenge\nFalse'
1512410215486748_1513348888726214,"b'False,but too much egg is not good to heart'"
1512410215486748_1513359568725146,b'False'
1512410215486748_1513419038719199,b'#ApolloHospitals #TheFreedomChallenge\nFalse join Ananya Mona Sanyal Bhattacharyya Anirban Asoke Kumar Bhattacharjee'
1512410215486748_1513450415382728,b'#ApolloHospitals #TheFreedomChallenge\nFalse\nApollo Hospitals'
1512410215486748_1513524478708655,"b'#TheFreedomChallenge Answer : ""False""'"
1512410215486748_1513981385329631,b'False'
1512410215486748_1514101985317571,b'Gud fr heart'
1512410215486748_1514136891980747,b'#THEFreedomchallange false'
1512410215486748_1514409465286823,"b'It is a good fad.In some particular diseases egg yolks are not good,bt in.general egg is balanced food. If there is no advice from doctor, we can take it.'"
1512410215486748_1515313085196461,b'False.'
1512409448820158_1513059012088535,b'False'
1512409448820158_1513075535420216,b'ANS --> TRUE :)\n\n#TheFreedomChallenge Apollo Hospitals'
1512409448820158_1513086162085820,b'True\n#TheFreedomChallenge'
1512409448820158_1513094725418297,b'True'
1512409448820158_1513098378751265,b'#TheFreedomChallenge. TRUE..'
1512409448820158_1513133692081067,b'True.                                               #The Freedom Challenge'
1512409448820158_1513207598740343,"b'Yes ...diabetic people can consume sugar in moderate level...have tried this personally. Earlier, people with diabetes were told to completely avoid sugar. Many thought that eating sugar would raise blood glucose levels very high.\n\nBut Research around this issue has shown that while the type of carbohydrate can affect how quickly blood glucose levels rise, the total amount of carbohydrate you eat affects blood glucose levels more than the type. Now experts agree that you can substitute small amounts of sugar for other carbohydrate containing foods into your meal plan and still keep your blood glucose levels on track.\n\n#thefreedomchallenge'"
1512409448820158_1513261775401592,b'False ..'
1512409448820158_1513293352065101,"b'True -  sugar does not raise blood sugar levels any more than starches do. This means you can eat sugary foods (cookies, cakes, pies, and candy) as long as you count them as part of your total carbohydrate intake. Keep in mind that foods high in sugar are often high in fat and calories, and if eaten in excess might elevate sugar and triglyceride levels, and can lead to weight gain.'"
1512409448820158_1513295792064857,b'#ApolloHospitals #TheFreedomChallenge\nTrue'
1512409448820158_1513360595391710,b'True'
1512409448820158_1513419962052440,b'True\n#TheFreedomChallenge'
1512409448820158_1513564152038021,b'False'
1512409448820158_1514162501978186,b'True in measured amounts per day quota'
1512409448820158_1514181011976335,b'True'
1512409448820158_1515813615146408,b'true'
1512176615510108_1512247152169721,"b""#TheFreedomChallenge\nI'm addicted to smartphone& step regarding this is I don't Charge my phone More than 30%, so that I can control myself."""
1512176615510108_1512247288836374,"b""Addicted to caffeine,From Bed Tea/Coffee to late night coffee/Tea\nI'm trying to have warm milk,green tea instead of tea #TheFreedomChallenge"""
1511288415598928_1511525252241911,b'I wish everyone celebrating a very Happy 71st Independence Day of India.\n\nJai Hind.'
1510398099021293_1510753425652427,b'Nice'
1510398099021293_1513101575417612,b'WOW'
1510319072362529_1510330029028100,b'H\xc3\x83PP\xc3\x9d 71th I\xc3\x91D\xc3\x8bP\xc3\x8b\xc3\x91D\xc3\x8b\xc3\x91\xc3\x87\xc3\x8b D\xc3\x83\xc3\x9d'
1509565262437910_1509711955756574,b' [[STICKER]]'
1509565262437910_1509814912412945,b' [[STICKER]]'
1509556635772106_1513101798750923,b'GREAT'
1509399902454446_1509427192451717,b'nice'
1509365492457887_1509367512457685,b'Sme to u....hospital authority \xe2\x9c\x8c'
1509365492457887_1509372332457203,b'Happy Janmashtmi'
1509365492457887_1509429802451456,b'thank u n happy janmastami to all'
1509365492457887_1509522899108813,b'Thank u sir'
1509365492457887_1509590935768676,b'I wish everyone celebrating a very Happy and Blessed Krishna Janmashtami 2017.'
1509365492457887_1509630505764719,b'Its ok'
1507758755951894_1508408705886899,b'Thanks !'
1507582719302831_1507653352629101,b'WELL AHEAD ;;APO'
1506589099402193_1506644476063322,b'IMO stuff about  is fab who agrees?'
1505787752815661_1505904619470641,b'Apollo'
1524105837650519_1524959704231799,b'But i like Italo Linfante'
1524105837650519_1525875300806906,b'Any latest technique in Tricuspid valve in re replacement used/performed'
1504904686237301_1513044275423342,b'Good morning  nenu staff  g n m nursing'
1504148619646241_1504152892979147,b'Want to loose my tummy instantly where I can.meet t Dr.'
1502945243099912_1503009503093486,"b""Is there anyone even attending calls at Apollo??? I'm trying ur Children's Hospital no. 28298282, ur centralised no. 28296339 for the past one hour. NO ONE IS PICKING UP! Seriously?!!? (from Chennai)"""
1501941459866957_1501944726533297,b'Good morning my Apollo friends'
1500178656709904_1500317510029352,b'Anything  about    is so important'
1499486200112483_1500921889968914,b'Always love everything  related to'
1499196043474832_1500153916712378,b'Nice'
1499196043474832_1500488413345595,b'Hlo'
1499196043474832_1501081433286293,b'Thanks  for the post'
1499196043474832_1501192226608547,b'Thanks'
1498512910209812_1498523386875431,b'Congratulations team Apollo hospitals.'
1498512910209812_1500154126712357,b'Nice'
1497652873629149_1497731383621298,b'Natarajasivan Deivarajan'
1497652873629149_1513522192042217,b'Could i have an idea how much would be the cost for regeneration..'
1496655840395519_1497021653692271,b'Good facilitated hospital'
1494250810636022_1495439053850531,b'who else gets  ?'
1494200680641035_1496204540440649,b'nice'
1494200680641035_1499588316768938,"b""I'm From Bangladesh !\nMy Brother's Liver Has Been Stone.  Plz Kind Your Imformation For How Much It Cost This Hospital?  It's Urgent."""
1493326067395163_1493415437386226,b'join the grope'
1493326067395163_1497629950298108,b'would like to know cost details for both knee'
1491337664260670_1491530384241398,"b'The Out let of Apollo Pharmacy Aranghata,Nadia,West Bengal-741501,harass local retail customer for Rs.10/- And Rs.5/- Coin,The out -let staff told it their management decision,is it true?'"
1490281864366250_1496773660383737,b'Good'
1488057954588641_1488094817918288,b'May all be blessed with future plans also.'
1488057954588641_1488222411238862,b'Is there any treatment for kidney failure patient'
1487020761359027_1487217708005999,b'who else loves'
1485944051466698_1486350504759386,b'Thanks  for the info'
1484986974895739_1485255258202244,b'nice'
1483946394999797_1484067858320984,b'Gud job'
1483946394999797_1496741000387003,b'Congratulations teams'
1483946394999797_1496762747051495,b'Thanks God. Get well soon baby'
1483946394999797_1496805763713860,b'A big success....'
1483946394999797_1496850680376035,b'Amen'
1483946394999797_1497005027027267,b'BahutSunderSir Good Night'
1483946394999797_1497057703688666,b'God is great  supurb job doctors get well soon dear god bless you always'
1483946394999797_1497061063688330,b'Good job.'
1483946394999797_1497154590345644,b'Good work'
1483946394999797_1497170170344086,b'Great success'
1483920735002363_1484326891628414,b'nice'
1483920735002363_1485270554867381,b'Hi is there any other treatment or dialyssis patients...like kidney chip'
1483075095086927_1483258825068554,b'B'
1483075095086927_1483341851726918,b'B'
1483075095086927_1483396528388117,b'B'
1483075095086927_1483598505034586,b'B'
1483075095086927_1483710078356762,b'B'
1483075095086927_1483846481676455,b'B'
1483075095086927_1484022291658874,b'B'
1483075095086927_1485255398202230,b'B'
1483075095086927_1486106718117098,b'Looks like left and right part of hip gurdle with thigh bone ... May be just a guess. And indeed as said B bone at ball joint is degenerative'
1482844768443293_1482861688441601,b'Who else loves'
1482844768443293_1482932018434568,b'Is there any new treatment fir dialysis patient.tooo...'
1482844768443293_1483845958343174,b'I am on my way.'
1480071112053992_1480074052053698,"b'I want to know some more details about this treatment..like cost & etc, and is this treatment available in kolkata??'"
1486834128044357_1487287907998979,b'nice'
1479207188807051_1481133371947766,b'I always love everything about'
1479207188807051_1496775547050215,b'\xe0\xa4\xa8\xe0\xa4\xae\xe0\xa4\xb8\xe0\xa5\x8d\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\xb0 \xe0\xa4\x9c\xe0\xa5\x80'
1479207188807051_1496795410381562,b'Nice one'
1479207188807051_1497011220359981,b'##Fab##'
1479207188807051_1497097537018016,b'Fantastic'
1477876258940144_1482537065140730,b'Planets biggest  fan right here'
1477876258940144_1487098561351247,b'\xe2\x9a\x98\xf0\x9f\x8c\xb1\xe0\xa4\x9c\xe0\xa4\xaf \xe0\xa4\xae\xe0\xa4\xbe\xe0\xa4\xa4\xe0\xa4\xbe \xe0\xa4\xa6\xe0\xa5\x80 \xf0\x9f\x8c\xb1\n\n#ADD_ME \xe2\x9a\x98\n                         #FOLLOW_Me \xe2\x9a\x98'
1477876258940144_1488338737893896,b'Jai Mata di'
1477875138940256_1478488802212223,b'CAG \xe0\xa6\x95\xe0\xa6\xb0\xe0\xa6\xa4\xe0\xa7\x87 \xe0\xa6\x95\xe0\xa6\xa4 \xe0\xa6\x96\xe0\xa6\xb0\xe0\xa6\x9a \xe0\xa6\xaa\xe0\xa7\x9c\xe0\xa6\xa4\xe0\xa7\x87 \xe0\xa6\xaa\xe0\xa6\xbe\xe0\xa6\xb0\xe0\xa7\x87 \xe0\xa6\x9c\xe0\xa6\xbe\xe0\xa6\xa8\xe0\xa7\x87\xe0\xa6\xac\xe0\xa7\x87\xe0\xa6\xa8 \xe0\xa6\x95\xe0\xa6\xbf?'
1477875138940256_1478946202166483,b'Yes'
1477931725601264_1478385685555868,b'This Will really gonna help'
1477931725601264_1486750788052691,b'Super'
1477931725601264_1486811288046641,b'Very good initiative.'
1477931725601264_1487164231344680,b'Very nice'
1477931725601264_1487739684620468,b'Wonderful initiative \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f'
1477931725601264_1487757937951976,b' [[STICKER]]'
1477931725601264_1487815327946237,b'What will be cost and delivery system.'
1477931725601264_1487893011271802,b'Nice'
1477931725601264_1488171254577311,b'Great'
1477931725601264_1489076154486821,b'Wonderful initiative'
1477931725601264_1489841167743653,b'Good initation'
1477931725601264_1490077487720021,b'Sera'
1477931725601264_1490424667685303,b'Very nice'
1477931725601264_1490942634300173,b'Great'
1476158575778579_1477846665609770,b'Md Khaled Hussain'
1474905885903848_1475381949189575,"b'Sharing one of the experience today in your clinic-\nMy son was having stomach ache , so got consulted by Dr. Merina. After 3 hours, my son suddenly had tilted pelvis so had to rush back to clinic again.\nDr. Merina had left already and there was some other paediatrician Dr. Sandesh. I was informed that I will have to pay the consultation fees once again. This was new to me and i denied initially. So the receptionist called Dr. Merina for oral consultation but didnt help as issue appeared bit critical. It seemed that doctor Sandesh denied to look at my son upon requesting by Dr. Merina. Finally Dr. Merina had to travel again to clinic and she satisfactorily resolved my issue. I am thankful to her.\nI finally want to raise a question here- Is it that the clinics are set up mere as a business?? With no logic being applied and a doctor denying to look at the patient without being paid separately, though i paid consultation just 3 hours back for same issue???'"
1472870086107428_1472873549440415,b'Ok'
1472870086107428_1473490806045356,"b""This is my first visit to the much acclaimed Apollo. I had my friend admitted in the emergency ward, doctor expects it to be malaria. I'm yet to see a hospital treating its patients so casually. The only receptionist is chatting away with her friends, the place is infested with mosquitoes (hilarious since my friend has malaria). Not a single person we can plead our helplessness to. This is pathetic and highly unethical from an institution supposed to save lives."""
1471436586250778_1472267222834381,b'Accident me facture ke liye'
1491328904261546_1492233570837746,b'Great !!'
1491328904261546_1520089911385445,b'Sumit Kumar \nR\xc3\xa9\xc3\xabm\xc3\xa5 K\xc3\xbam\xc3\xa1r'
1471435832917520_1472261516168285,b'Facture ke liye'
1469740583087045_1469744949753275,b'Ok'
